                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2663,                 5.5342,                 1.3349,                 0.0031,                0.92857,                0.00464,                0.00178,                 1.9602,                 5.3076,                 1.1078,                0.00018,                0.00018,                0.00018
                      2,                 2.0457,                 3.4854,                 1.2368,                0.00333,                      1,                0.00484,                0.00191,                 1.8179,                 5.0521,                 1.0802,             0.00037624,             0.00037624,             0.00037624
                      3,                 1.8425,                 3.2773,                 1.2091,                0.00286,                0.85714,                0.00406,                0.00176,                 1.6931,                 4.8182,                 1.1364,             0.00056852,             0.00056852,             0.00056852
                      4,                 1.7432,                 2.6638,                 1.1732,                 0.0019,                0.57143,                0.00215,                 0.0008,                 1.9147,                 4.7726,                 1.2378,             0.00075683,             0.00075683,             0.00075683
                      5,                 1.7604,                 2.5061,                 1.2659,                0.00167,                    0.5,                0.00152,                0.00076,                 1.8254,                  4.731,                 1.2824,             0.00094119,             0.00094119,             0.00094119
                      6,                 1.7536,                 2.5002,                 1.2201,                 0.0019,                0.57143,                 0.0018,                0.00074,                 2.2474,                 4.8438,                 1.5253,              0.0011216,              0.0011216,              0.0011216
                      7,                 1.6753,                 2.1976,                  1.152,                 0.0019,                0.57143,                0.00248,                0.00134,                 1.7167,                 4.4842,                 1.3211,               0.001298,               0.001298,               0.001298
                      8,                 1.6774,                  2.179,                 1.1689,                0.00214,                0.64286,                0.19068,                0.09364,                 2.0601,                  4.073,                 1.3994,              0.0014705,              0.0014705,              0.0014705
                      9,                 1.5308,                 1.8398,                 1.1333,                      1,                 0.1283,                0.37781,                0.21554,                 1.9113,                 4.0474,                 1.3764,               0.001639,               0.001639,               0.001639
                     10,                 1.5728,                 1.8348,                 1.1202,                      1,                0.32401,                0.54136,                0.22157,                 2.1297,                 3.5333,                 1.6711,              0.0018036,              0.0018036,              0.0018036
                     11,                 1.5638,                 1.8529,                 1.1094,                0.71515,                0.35887,                0.43633,                0.18869,                 2.3007,                 3.4511,                 1.7735,               0.001802,               0.001802,               0.001802
                     12,                 1.6152,                 1.7116,                 1.1435,                 0.6088,                0.35714,                0.39278,                0.18498,                 2.1868,                 3.1065,                 1.6312,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6473,                 1.6822,                 1.1526,                0.91468,                0.42857,                0.55551,                0.24299,                 2.4194,                 2.8834,                 1.8782,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.532,                 1.5478,                 1.0928,                0.78111,                0.42857,                0.50576,                0.17657,                 2.4217,                  2.893,                 1.7661,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.453,                 1.4462,                 1.1171,                0.86865,                0.47459,                0.61982,                0.18619,                 2.5402,                 2.9473,                 1.7239,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4062,                 1.3514,                 1.0679,                0.41107,                0.42857,                0.38209,                0.13789,                 2.6988,                 2.6858,                 1.8407,               0.001703,               0.001703,               0.001703
                     17,                 1.4342,                 1.2641,                 1.1162,                0.66261,                    0.5,                0.58239,                 0.2172,                 2.4099,                 2.4862,                 1.6052,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4534,                 1.3166,                  1.115,                 0.8154,                0.63194,                0.66439,                0.25987,                 2.4089,                 2.0271,                 1.6337,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4542,                 1.2274,                 1.0744,                 0.9721,                    0.5,                0.61951,                0.28978,                 2.0242,                 2.0172,                 1.3998,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4252,                 1.2457,                 1.0822,                0.85461,                0.57143,                 0.6051,                0.29685,                 1.9634,                 1.9232,                 1.4118,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3521,                 1.1593,                 1.0534,                0.84546,                0.78571,                0.76336,                0.31838,                 2.0908,                 1.7222,                 1.4452,               0.001604,               0.001604,               0.001604
                     22,                 1.3734,                 1.1498,                 1.0552,                0.99793,                    0.5,                0.56398,                0.25108,                 2.1143,                 1.9544,                 1.3797,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3383,                 1.0786,                 1.0619,                      1,                 0.5688,                0.71251,                0.32047,                 2.0694,                 1.7289,                 1.4091,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2403,                 1.0564,                0.99779,                0.88366,                0.78571,                0.79364,                0.31583,                 2.2271,                 1.5926,                 1.4812,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.414,                 1.0956,                 1.0878,                0.91664,                0.78549,                0.84584,                0.35164,                 2.1995,                 1.4549,                 1.5106,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2891,                0.98777,                 1.0208,                      1,                0.77241,                0.81149,                0.31208,                 2.2824,                 1.7968,                  1.463,               0.001505,               0.001505,               0.001505
                     27,                 1.3782,                 1.0322,                 1.0445,                0.72746,                0.57201,                0.71774,                 0.2591,                 2.2716,                  2.194,                 1.4311,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2728,                 1.0114,                 1.0263,                 0.9989,                0.64286,                0.74456,                0.31402,                 1.9943,                 1.6652,                 1.3434,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.205,                0.93207,                0.97451,                0.99963,                0.64286,                0.73067,                0.36581,                 1.9257,                  1.658,                 1.3095,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2966,                0.90213,                 1.0504,                0.83735,                0.36918,                0.47908,                0.15982,                 2.3181,                 2.6604,                 1.5238,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1524,                0.82949,                 1.0051,                0.79751,                0.28216,                0.48039,                0.21478,                 2.3698,                 2.5884,                 1.5305,               0.001406,               0.001406,               0.001406
                     32,                 1.2022,                 0.8502,                 1.0159,                      1,                0.71161,                0.74881,                 0.3676,                 2.1452,                 1.5055,                 1.3938,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2158,                0.85831,                0.98436,                      1,                0.71278,                0.79557,                0.35179,                 2.1723,                  1.484,                 1.4599,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.128,                0.76779,                0.95282,                      1,                0.63676,                0.78087,                0.29601,                 2.4326,                 1.3454,                 1.5622,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1918,                 0.8053,                0.98282,                0.91412,                 0.7617,                0.79189,                0.33736,                 2.2824,                 1.2746,                  1.489,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1923,                0.82533,                0.99788,                      1,                0.71117,                 0.7778,                0.31768,                 2.2295,                  1.454,                 1.4559,               0.001307,               0.001307,               0.001307
                     37,                 1.1868,                0.76071,                 0.9904,                      1,                0.71083,                0.80576,                0.35795,                 2.1826,                 1.4564,                 1.4303,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2032,                0.80142,                0.95113,                 0.8862,                0.71429,                0.76578,                0.29146,                 2.2094,                  1.572,                 1.4575,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1572,                0.81149,                0.98879,                0.97984,                0.71429,                0.80709,                0.30825,                 2.2221,                 1.4346,                 1.4527,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1131,                0.73906,                0.96155,                      1,                0.70364,                0.87216,                0.42739,                 1.9864,                 1.3038,                 1.3663,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2275,                0.78884,                  1.026,                0.88883,                0.71429,                0.81031,                0.37704,                 2.0692,                 1.3012,                 1.4359,               0.001208,               0.001208,               0.001208
                     42,                 1.0817,                0.75059,                0.97633,                0.90602,                0.71429,                0.77176,                0.38968,                  1.961,                 1.3064,                 1.3994,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1272,                 0.7386,                0.92853,                0.98061,                0.57143,                 0.7953,                0.42721,                 1.8236,                 1.3019,                 1.3383,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0729,                0.72028,                0.95659,                0.85244,                0.64286,                0.76567,                0.39827,                 1.8875,                 1.6047,                 1.3304,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0027,                0.69907,                0.93721,                      1,                0.58663,                0.68192,                0.38016,                 1.8494,                 2.0333,                 1.3076,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0097,                0.67578,                0.93111,                      1,                 0.7032,                0.77244,                0.45176,                 1.8317,                 1.7074,                 1.2698,               0.001109,               0.001109,               0.001109
