                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3477,                 5.6203,                 1.3689,                0.00167,                    0.5,                0.00193,                0.00072,                 2.0488,                 5.4536,                 1.2588,                0.00014,                0.00014,                0.00014
                      2,                 2.0502,                 4.2363,                 1.2222,                0.00333,                      1,                0.00673,                0.00182,                 1.9132,                 4.9791,                 1.1317,             0.00029802,             0.00029802,             0.00029802
                      3,                 2.0068,                 3.4523,                 1.2625,                0.00238,                0.71429,                0.00228,                0.00072,                 1.9705,                 4.9114,                 1.2126,             0.00045393,             0.00045393,             0.00045393
                      4,                 1.9245,                 2.9493,                 1.1945,                 0.0031,                0.92857,                0.00358,                0.00109,                   1.92,                 4.7853,                 1.1894,             0.00060772,             0.00060772,             0.00060772
                      5,                 1.8887,                 2.6211,                 1.2284,                0.00286,                0.85714,                0.01235,                0.00789,                 1.8749,                 4.8728,                 1.2314,             0.00075941,             0.00075941,             0.00075941
                      6,                 1.7833,                 2.3799,                  1.179,                0.00167,                    0.5,                0.00151,                0.00073,                 1.7871,                 4.8604,                 1.2367,             0.00090898,             0.00090898,             0.00090898
                      7,                 1.6892,                 2.2962,                 1.1702,                0.00119,                0.35714,                0.00116,                0.00064,                 1.8599,                 4.5229,                 1.3002,              0.0010564,              0.0010564,              0.0010564
                      8,                  1.672,                 2.3879,                 1.1757,                0.00143,                0.42857,                0.00139,                0.00081,                 1.7076,                  4.845,                 1.2352,              0.0012018,              0.0012018,              0.0012018
                      9,                 1.6485,                 2.0336,                 1.1585,                0.00119,                0.35714,                0.00128,                0.00074,                 2.0696,                 5.2595,                 1.3964,               0.001345,               0.001345,               0.001345
                     10,                 1.6611,                 2.1939,                 1.1305,                0.09043,                0.21429,                0.08256,                0.03979,                 2.1268,                 3.9626,                 1.4349,              0.0014861,              0.0014861,              0.0014861
                     11,                 1.5405,                  1.728,                 1.1527,                0.02382,                0.07143,                0.02413,                0.01256,                 1.9446,                 4.0117,                 1.3611,              0.0016252,              0.0016252,              0.0016252
                     12,                 1.5708,                 1.8198,                 1.1484,                0.75147,                0.21429,                0.27167,                0.14592,                 1.9807,                 3.4676,                 1.4326,              0.0017621,              0.0017621,              0.0017621
                     13,                 1.5535,                 1.5776,                 1.1314,                0.10604,                0.16162,                0.09053,                 0.0432,                 2.0601,                 3.3695,                 1.4918,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.4543,                 1.4831,                 1.1031,                0.92083,                0.28571,                0.43998,                 0.1838,                 2.1106,                 3.2169,                 1.4359,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.5251,                  1.462,                 1.0937,                      1,                0.30943,                0.49675,                0.22837,                 2.3201,                 3.3455,                 1.5439,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.5362,                 1.4154,                 1.0935,                0.52494,                0.31777,                0.23757,                0.09776,                 2.2623,                 3.1961,                 1.4936,               0.001802,               0.001802,               0.001802
                     17,                 1.5005,                 1.4108,                 1.1311,                0.96052,                0.57143,                0.66347,                0.24428,                 2.2614,                 2.4217,                 1.5428,              0.0017888,              0.0017888,              0.0017888
                     18,                  1.548,                 1.4264,                 1.1081,                      1,                0.64138,                 0.8108,                0.38885,                 2.0063,                 2.0665,                  1.401,              0.0017756,              0.0017756,              0.0017756
                     19,                  1.442,                  1.307,                 1.0814,                0.97015,                0.64286,                0.77985,                0.37953,                 1.9726,                 2.0399,                 1.3887,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.4017,                 1.2176,                 1.0751,                0.98373,                0.64286,                0.78968,                 0.4377,                 1.8927,                 1.6788,                 1.3685,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.3554,                 1.1426,                 1.0402,                 0.8171,                0.71429,                0.86745,                0.37564,                 2.0229,                 1.6752,                 1.4459,               0.001736,               0.001736,               0.001736
                     22,                   1.39,                 1.1267,                 1.0556,                      1,                0.62536,                0.82099,                 0.3152,                 1.9829,                 2.0477,                 1.3856,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.3598,                 1.1408,                 1.0626,                0.90621,                0.69165,                0.75615,                0.31105,                 2.0851,                 1.7945,                 1.4352,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.3536,                 1.0524,                  1.043,                0.83156,                    0.5,                0.60214,                0.29107,                 2.1438,                 2.0049,                 1.4503,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.3187,                 1.0583,                 1.0341,                0.87322,                0.49287,                0.62224,                0.33159,                 1.9294,                 1.7522,                 1.3745,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.3811,                 1.0446,                 1.0531,                0.73864,                0.64286,                0.69511,                0.31044,                 2.0369,                 1.5761,                 1.4006,                0.00167,                0.00167,                0.00167
                     27,                 1.4076,                 1.0074,                 1.0546,                0.97912,                0.42857,                0.56051,                0.28232,                 2.1018,                 1.9041,                 1.4444,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.3168,                0.98169,                 1.0273,                0.86842,                0.47368,                0.57737,                0.22895,                 2.1732,                 2.2445,                 1.4857,              0.0016436,              0.0016436,              0.0016436
                     29,                   1.31,                0.93838,                 1.0236,                0.79626,                 0.5594,                 0.5345,                0.22703,                 2.0911,                 2.0462,                 1.4365,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.1585,                0.85717,                 1.0204,                0.89559,                0.71429,                0.69303,                0.33823,                 1.9656,                 1.7186,                 1.3932,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.2759,                0.87612,                 1.0124,                0.81443,                0.71429,                0.70127,                 0.3302,                 1.9267,                 1.6874,                  1.358,               0.001604,               0.001604,               0.001604
                     32,                 1.2644,                0.88843,                 1.0027,                0.91501,                 0.7701,                 0.8562,                0.36341,                 2.1644,                 1.3814,                 1.4755,              0.0015908,              0.0015908,              0.0015908
                     33,                  1.251,                0.94635,                0.99436,                0.92614,                0.71429,                0.82163,                0.35719,                 2.1387,                 1.2677,                  1.485,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.2368,                0.82914,                 0.9926,                0.84309,                0.78571,                0.80371,                0.34771,                 2.1429,                 1.2915,                 1.4599,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.2208,                0.82472,                0.98135,                0.98709,                0.78571,                0.82788,                0.34229,                 2.1638,                   1.34,                 1.5205,              0.0015512,              0.0015512,              0.0015512
