epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.356,1.1321,2.70798,1.4533,0.00432,0.95181,0.2695,0.15923,0.854,3.10951,1.41362,0,0,0
2,969.251,1.00096,2.68393,1.3735,0.00432,0.95181,0.33619,0.20656,0.83996,3.10757,1.39952,1.9901e-05,1.9901e-05,1.9901e-05
3,1334.01,1.03366,2.62209,1.45125,0.00426,0.93976,0.46785,0.31253,0.8201,3.09621,1.3814,3.9604e-05,3.9604e-05,3.9604e-05
4,1704.6,0.98573,2.53344,1.4156,0.00426,0.93976,0.59919,0.41465,0.7911,3.08074,1.36166,5.9109e-05,5.9109e-05,5.9109e-05
5,2089.95,0.96187,2.52555,1.39552,0.00426,0.93976,0.69904,0.49556,0.78029,3.07122,1.34938,7.8416e-05,7.8416e-05,7.8416e-05
6,2503.16,0.87648,2.42396,1.28715,0.00426,0.93976,0.73315,0.54188,0.78151,3.0605,1.3307,9.7525e-05,9.7525e-05,9.7525e-05
7,2926.01,0.91979,2.21311,1.37274,0.00421,0.92771,0.76393,0.55974,0.78125,3.04145,1.30238,0.000116436,0.000116436,0.000116436
8,3383.14,0.97421,2.07037,1.3247,0.00421,0.92771,0.77017,0.56811,0.78484,3.00217,1.28451,0.000135149,0.000135149,0.000135149
9,3939.19,0.90291,1.88631,1.26896,0.00426,0.93976,0.77005,0.55702,0.78573,2.94317,1.27537,0.000153664,0.000153664,0.000153664
10,4448.23,0.87288,1.83856,1.25952,0.00426,0.93976,0.75989,0.55824,0.78925,2.87829,1.29126,0.000171981,0.000171981,0.000171981
11,4914.32,0.89089,1.59165,1.25427,0.0086,0.84337,0.75418,0.53442,0.80403,2.81262,1.30966,0.0001901,0.0001901,0.0001901
12,5725.49,0.81939,1.44511,1.2148,0.94058,0.19083,0.75284,0.51184,0.83116,2.7499,1.351,0.000208021,0.000208021,0.000208021
